ID,Feature Area,Test Case,Steps,Expected Result,Priority,Status,Notes
L-01,Landing Page,Page loads correctly,"Open the app in a browser (npm run dev, visit localhost)",Hero section with title 'Learn to talk to AI' and snow shoveling demo are visible,Critical,,
L-02,Landing Page,Help button visible in upper right,"Look at the top-right of the landing page",Small 'Help' button with HelpCircle icon is visible,High,,
L-03,Landing Page,Help button navigates to Help page,"Click the Help button in upper right",Help page loads with all sections. Header nav appears at top.,High,,
L-04,Landing Page,Snow shoveling demo — bad example visible,"Look at the demo card",Bad prompt 'Do you know how to shovel snow faster?' with AI response 'Yes.' is visible,Critical,,
L-05,Landing Page,Snow shoveling demo — reveal good example,"Click 'Now see what happens with a better request'",Good prompt and detailed AI response fade in. Insight callout appears below.,Critical,,
L-06,Landing Page,CTA button works,"Click 'Try It Yourself' button",Navigates to Scenario Selector page,Critical,,
L-07,Landing Page,AI safety callout visible,"Look below the CTA button",Text about AI tools being 'powerful but not perfect' with link to Help page is visible,High,,
L-08,Landing Page,AI safety link works,"Click 'Learn how to verify what you get back'",Navigates to Help page,Medium,,
L-09,Landing Page,8 skills grid displays,"Scroll down past the CTA",All 8 communication principles shown in a 2-column grid with icons and descriptions,High,,
L-10,Landing Page,Footer displays,"Scroll to the bottom",Footer with NeuroBridge attribution is visible,Low,,
N-01,Navigation,Header appears on non-landing pages,"Navigate to Scenarios page",Sticky header with PromptBridge logo and nav buttons (Scenarios / Progress / Help / Settings) is visible,Critical,,
N-02,Navigation,Header hidden on landing page,"Click the PromptBridge logo to return to landing",Header disappears. Only the landing page content and its own Help button are visible.,High,,
N-03,Navigation,Scenarios button works and highlights,"Click 'Scenarios' in header",Scenario Selector loads. Scenarios button has indigo active styling.,Critical,,
N-04,Navigation,Progress button works and highlights,"Click 'Progress' in header",Progress page loads. Progress button has indigo active styling. Badge shows X/8.,Critical,,
N-05,Navigation,Help button works and highlights,"Click the HelpCircle icon in header",Help page loads. Help icon has indigo active styling.,High,,
N-06,Navigation,Settings button works and highlights,"Click the Settings gear icon in header",Settings page loads. Settings icon has indigo active styling.,High,,
N-07,Navigation,Logo returns to landing,"Click 'PromptBridge' logo text in header",Landing page loads. Header disappears.,High,,
N-08,Navigation,Scenarios button active during guided/freeform,"Start a guided scenario, check header",Scenarios button remains highlighted in indigo while in guided or freeform mode,Medium,,
H-01,Help Page,All sections render,"Navigate to Help page, scroll through",All sections visible: What is PromptBridge / How does it work / Where should I start / Tracking your progress / 8 skills / Using AI wisely / API key / Privacy,Critical,,
H-02,Help Page,Four modes described,"Check the 'How does it work?' section","Four mode cards shown: Guided Practice, Write Your Own, Write First (with 'Requires API key' badge), Practice Iterating (with badge)",High,,
H-03,Help Page,Learning path steps,"Check 'Where should I start?' section","Numbered 1-4 path: Start with Guided → Follow recommendations → Write your own → Check progress",High,,
H-04,Help Page,Start Practicing button works,"Click 'Start Practicing' button in 'Where should I start?' section",Navigates to Scenario Selector,High,,
H-05,Help Page,Progress and Assessment section,"Check 'Tracking your progress' section",Progress Page and Skill Assessment described. Personalization question mentioned.,High,,
H-06,Help Page,8 skills list complete,"Check 'What are the 8 skills?' section",All 8 principles listed with icons and descriptions matching the landing page,High,,
H-07,Help Page,AI safety section — 6 risks,"Check 'Using AI wisely' section","6 numbered risk items visible: hallucinations, review output, not professional advice, privacy, biases, cutoff date",Critical,,
H-08,Help Page,AI safety — verification techniques,"Check the verification techniques box within the safety section","4 techniques listed: source links, confidence question, run twice, document grounding",Critical,,
H-09,Help Page,API key section — with/without breakdown,"Check 'What's an API key?' section",Two lists clearly show what works without a key and what unlocks with a free key,High,,
H-10,Help Page,Google AI Studio link works,"Click the 'Get a free key at Google AI Studio' link",Opens Google AI Studio in a new tab,Medium,,
H-11,Help Page,Settings link works,"Click 'Settings' link in the API key section",Navigates to Settings page,Medium,,
H-12,Help Page,Privacy section accurate,"Check 'Is my data private?' section",States data stays in browser and API calls go directly to provider,High,,
H-13,Help Page,Bottom CTA works,"Click 'Start Practicing' button at the bottom of the page",Navigates to Scenario Selector,Medium,,
P-01,Personalization,Onboarding banner appears on first visit,"Clear localStorage, navigate to Scenario Selector","Banner asks 'What do you use AI for?' with 5 pill buttons: Work emails & docs, Coding & tech, School & learning, Personal projects, A bit of everything",High,,
P-02,Personalization,Selecting a context dismisses banner,"Click 'Work emails & docs' pill",Banner disappears. Choice is saved.,High,,
P-03,Personalization,Context persists on refresh,"Select a context, refresh the page",Banner does not reappear. Context is remembered.,High,,
P-04,Personalization,Dismiss banner without selecting,"Click the X button on the banner",Banner disappears for this session. No context is saved.,Medium,,
P-05,Personalization,Scenarios sort by relevance,"Select 'Work emails & docs', check scenario order",Work-related scenarios (email draft, meeting summary, etc.) appear first within each category group,Medium,,
P-06,Personalization,Context passed to freeform analysis,"Select a context, complete a freeform scenario with API key","Freeform analysis feedback is tailored to the user's context (e.g., mentions work context)",Medium,,
SS-01,Scenario Selector,Page loads with all scenarios,"Navigate to Scenario Selector","Title 'Choose a Scenario', two tabs (Guided Practice, Write Your Own), and scenario cards grouped by category are visible",Critical,,
SS-02,Scenario Selector,Guided tab shows 30 scenarios,"Click 'Guided Practice' tab, count scenarios",30 scenario cards across 4 categories (Vague vs Specific / Context & Framing / Iterative Refinement / Smart Strategies),Critical,,
SS-03,Scenario Selector,Freeform tab shows 3 scenarios,"Click 'Write Your Own' tab",3 scenario cards in the Full Conversation Loop category,Critical,,
SS-04,Scenario Selector,Write First tab appears with API key,"Configure an API key in Settings, return to Scenario Selector","Third tab 'Write First' is visible and clickable",High,,
SS-05,Scenario Selector,Write First tab disabled without API key,"Clear API key, check Scenario Selector","'Write First' tab is grayed out with '(API key)' text",High,,
SS-06,Scenario Selector,Scenario cards show title and situation,"Look at any scenario card",Title in bold and situation description visible,Critical,,
SS-07,Scenario Selector,Principle badges on cards,"Look at the bottom of any scenario card",Principle badges (e.g., 'Be specific, not vague') shown in indigo pills,High,,
SS-08,Scenario Selector,Completed scenarios show checkmark,"Complete a guided scenario, return to Scenario Selector",Completed scenario has a green checkmark in the top-right corner,High,,
SS-09,Scenario Selector,Recommended scenarios show 'Next' badge,"Complete 1-2 scenarios, return to Scenario Selector","Up to 3 uncompleted scenarios show a sparkle 'Next' badge based on unpracticed principles",High,,
SS-10,Scenario Selector,Practice Iterating button on eligible scenarios,"With API key, look at Category 3 (Iterative Refinement) scenario cards","Amber 'Practice iterating' button visible on eligible scenarios (3.1 through 3.7, 5.1 through 5.3)",High,,
SS-11,Scenario Selector,Clicking a guided scenario opens Guided Mode,"Click any guided scenario card",Guided Mode page loads with the scenario's title and situation,Critical,,
SS-12,Scenario Selector,Clicking a freeform scenario opens Freeform Mode,"Switch to Write Your Own tab, click a scenario",Freeform Mode page loads with the scenario's title and situation,Critical,,
SS-13,Scenario Selector,Clicking a hybrid scenario opens Hybrid Mode,"Switch to Write First tab, click a scenario",Hybrid Mode page loads with the scenario's title and situation,High,,
SS-14,Scenario Selector,Clicking Practice Iterating opens Multi-Turn Mode,"Click the 'Practice iterating' button on an eligible scenario",Multi-Turn Mode page loads with the scenario's title and situation,High,,
SS-15,Scenario Selector,Category sections have correct headings,"Check each category group","Headings match: Vague vs. Specific, Context & Framing, Iterative Refinement, Smart Strategies, Full Conversation Loop",Medium,,
G-01,Guided Mode,Scenario header displays,"Open any guided scenario",Scenario title and situation shown in a card at the top,Critical,,
G-02,Guided Mode,Three options displayed in shuffled order,"Wait for loading to finish",Three option cards (A/B/C) appear. They should be shuffled (not always weak/medium/strong order).,Critical,,
G-03,Guided Mode,Options are clickable,"Click any option card",Side-by-side comparison and feedback appear,Critical,,
G-04,Guided Mode,Quality label shown after selection,"Select an option, check the indicator","'You picked: Strong/Okay/Weak' label appears with color-coded badge",High,,
G-05,Guided Mode,Side-by-side comparison renders,"Check the comparison section after picking","Two columns: weak (rose/red) on left, strong (emerald/green) on right. Each shows the prompt text and AI response.",Critical,,
G-06,Guided Mode,Feedback panel renders,"Check below the comparison",Amber panel with 'What happened here' title shows what_happened text / principle name / tip,Critical,,
G-07,Guided Mode,Feedback tone is non-defensive (weak pick),"Pick the weak option, read the feedback","Feedback should start with normalizing language like 'This is how most people would phrase it' — NOT 'Your question was too vague'",Critical,,
G-08,Guided Mode,Feedback tone is encouraging (strong pick),"Pick the strong option, read the feedback",Feedback acknowledges good choice and still explains the principle,High,,
G-09,Guided Mode,Copy button on strong prompt,"Check for copy button near the strong prompt area","'Copy this prompt — try it in your own AI tool' button is visible and copies text to clipboard on click",High,,
G-10,Guided Mode,Principle badges display,"Check below the feedback panel",Principle badges matching the scenario's principles are shown,Medium,,
G-11,Guided Mode,Recommendation callout appears,"Complete a scenario (not the last one), check below principle badges","Indigo callout: 'What to try next — Try [scenario] to practice [skill]'",High,,
G-12,Guided Mode,Next Scenario button works,"Click 'Next Scenario'",Next uncompleted guided scenario loads. Progress is saved.,Critical,,
G-13,Guided Mode,Back to List button works,"Click 'Back to List'",Returns to Scenario Selector,High,,
G-14,Guided Mode,Back arrow works,"Click '< Back to scenarios' at the top",Returns to Scenario Selector,High,,
R-01,Guided Mode — Replay,Try Again button visible on round 1,"Complete a guided scenario, check action buttons","'Try Again' button with RefreshCw icon is visible alongside 'Next Scenario' and 'Now Write Your Own'",High,,
R-02,Guided Mode — Replay,Try Again reshuffles options,"Click 'Try Again'",Returns to the pick step with the same 3 options in a new shuffled order,High,,
R-03,Guided Mode — Replay,Round 2 — improved pick feedback,"On round 2, pick a better option than round 1 (e.g., weak→strong)","Green callout: 'Nice improvement! You recognized the stronger option this time.'",High,,
R-04,Guided Mode — Replay,Round 2 — same pick feedback,"On round 2, pick the same quality as round 1","Indigo callout: 'Same choice — that shows confidence in your understanding.'",Medium,,
R-05,Guided Mode — Replay,Round 2 — worse pick feedback,"On round 2, pick a weaker option than round 1","Amber callout about the shuffle making it trickier, with encouragement to review feedback",Medium,,
R-06,Guided Mode — Replay,No Try Again on round 2,"On round 2 results, check action buttons","'Try Again' button is NOT visible (max 2 rounds)",High,,
T-01,Guided Mode — Try It Yourself,Now Write Your Own button visible,"Complete a guided scenario (round 1 or 2), check action buttons","Emerald 'Now Write Your Own' button is visible",High,,
T-02,Guided Mode — Try It Yourself,Write step opens,"Click 'Now Write Your Own'","Textarea appears with scenario principles listed as hints ('Try to include: Be specific, Provide context...')",High,,
T-03,Guided Mode — Try It Yourself,Back to results works,"In the write step, click 'Back to results'",Returns to the guided results view,Medium,,
T-04,Guided Mode — Try It Yourself,Heuristic scoring (no API key),"Write a prompt with and without key principles, click 'Check My Prompt' (no API key configured)","Score out of 100 shown, detected principles have green checkmarks, missing principles have specific suggestions",High,,
T-05,Guided Mode — Try It Yourself,Heuristic detects specificity (P1),"Write a prompt >20 words with numbers, submit without API key",P1 'Be specific' should be detected (green checkmark),Medium,,
T-06,Guided Mode — Try It Yourself,Heuristic detects context (P2),"Write a prompt with 'I am' or 'my' phrases, submit without API key",P2 'Provide context' should be detected,Medium,,
T-07,Guided Mode — Try It Yourself,Heuristic catches ambiguity (P4),"Write a prompt starting with 'Do you know...?', submit without API key",P4 'Avoid ambiguity' should be flagged as missing with suggestion to rephrase,Medium,,
T-08,Guided Mode — Try It Yourself,AI analysis (with API key),"Configure API key, write a prompt, click 'Check My Prompt'","Full analysis loads: strengths, improvements, improved version with copy button, side-by-side comparison",High,,
T-09,Guided Mode — Try It Yourself,Try Again from try-results,"On the try-results step, click 'Try Again'",Returns to the write step with empty textarea,Medium,,
T-10,Guided Mode — Try It Yourself,Next Scenario from try-results,"On the try-results step, click 'Next Scenario'",Next scenario loads. Progress is saved.,High,,
F-01,Freeform Mode — No API Key,Page loads with scenario,"Open a freeform scenario without an API key configured",Scenario header and textarea visible. 'Copy & Try It' button visible. 'Analyze with AI' button is disabled/grayed.,Critical,,
F-02,Freeform Mode — No API Key,Copy & Try flow,"Write a prompt, click 'Copy & Try It'","'Prompt copied!' success message, tips panel with guidance, principle badges for the scenario, and API key callout",High,,
F-03,Freeform Mode — No API Key,Write Another button works,"Click 'Write Another' on the tips step",Returns to the write step with empty textarea,Medium,,
F-04,Freeform Mode — No API Key,API key callout link works,"Click the 'Get a free Gemini API key' link",Opens Google AI Studio in a new tab,Medium,,
F-05,Freeform Mode — With API Key,Submit button visible,"Open a freeform scenario with API key configured","'Submit' button is visible (not 'Copy & Try It')",Critical,,
F-06,Freeform Mode — With API Key,Full analysis flow,"Write a prompt, click Submit","Loading states shown, then analysis: strengths (green), improvements (amber), improved version (indigo with copy button)",Critical,,
F-07,Freeform Mode — With API Key,Side-by-side comparison,"Check below the analysis",ResponseComparison showing your prompt vs. improved version with AI responses,Critical,,
F-08,Freeform Mode — With API Key,Tip and principle badges,"Check below the comparison","Amber tip panel, then skills practiced (green checkmarks) and missing (gray)",High,,
F-09,Freeform Mode — With API Key,Recommendation callout,"Check below principle badges (if applicable)",Recommendation for next freeform scenario appears if there are unpracticed principles,Medium,,
F-10,Freeform Mode — With API Key,Next Scenario and Try Again buttons,"Check action buttons at the bottom","'Next Scenario' and 'Try Again' buttons visible and functional",High,,
HM-01,Hybrid Mode (Write First),Page loads with scenario,"Open a scenario from the Write First tab",Scenario header with 'Write First' label and textarea visible,Critical,,
HM-02,Hybrid Mode (Write First),Submit generates variations,"Write a prompt, click 'See Variations'","Loading spinner, then 3 shuffled variation cards appear. Your original prompt shown in indigo box above them.",Critical,,
HM-03,Hybrid Mode (Write First),Variation selection works,"Click one of the 3 variations","Loading spinner for responses, then side-by-side comparison appears with quality label",Critical,,
HM-04,Hybrid Mode (Write First),Results show original prompt,"Check the results view",Your original prompt is displayed in an indigo box above the comparison,High,,
HM-05,Hybrid Mode (Write First),Copy strong version button works,"Click the copy button",Strong version text copied to clipboard,Medium,,
HM-06,Hybrid Mode (Write First),Principle badges and actions,"Check below the comparison",Principle badges and Next Scenario / Back to List buttons visible,High,,
MT-01,Multi-Turn Mode,Page loads with scenario,"Click 'Practice iterating' on an eligible scenario",Scenario header with textarea and 'Send Initial Request' button visible,Critical,,
MT-02,Multi-Turn Mode,Initial response generated,"Write a prompt, submit","Loading spinner, then mediocre AI response shown with 'What could improve this' hints",Critical,,
MT-03,Multi-Turn Mode,Follow-up textarea appears,"Check below the initial response",New textarea for writing a follow-up with 'Send Follow-up' button,Critical,,
MT-04,Multi-Turn Mode,Improved response generated,"Write a follow-up, submit","Loading spinner, then improved response shown alongside the initial response for comparison",Critical,,
MT-05,Multi-Turn Mode,Conversation arc feedback,"Check below the responses","Feedback panel showing: initial assessment, follow-up quality, improvement summary, and tip",Critical,,
MT-06,Multi-Turn Mode,Copy buttons work,"Check for copy buttons on both responses",Both initial and improved prompts/responses have copy buttons,Medium,,
MT-07,Multi-Turn Mode,Next Scenario button works,"Click 'Next Scenario'",Next scenario loads and progress is saved,High,,
PR-01,Progress Page,Completion count,"Complete 3 scenarios, visit Progress",Shows '3 of 33 scenarios completed',Critical,,
PR-02,Progress Page,Progress bar fills,"Complete scenarios, check the bar",Bar width proportional to completion percentage,High,,
PR-03,Progress Page,Principles grid shows practiced,"Complete scenarios covering P1 and P4, check grid","P1 and P4 have green background, checkmark icon, and 'Practiced' badge. Others remain gray.",Critical,,
PR-04,Progress Page,Continue Practicing button,"Visit Progress with incomplete scenarios",'Continue Practicing' button navigates to Scenario Selector,High,,
PR-05,Progress Page,All completed state,"Complete all 33 scenarios, visit Progress","Award badge: 'All scenarios completed!' message",Low,,
PR-06,Progress Page,Pre-assessment CTA,"Visit Progress with 0 completed scenarios","'See Where You Stand' callout with Start button visible",High,,
PR-07,Progress Page,Post-assessment CTA,"Complete 10+ scenarios (with pre-assessment done), visit Progress","'Measure Your Progress' callout with Start button visible",High,,
PR-08,Progress Page,Assessment results display,"Complete both pre and post assessment, visit Progress","Before/after scores shown with point improvement",High,,
A-01,Assessment Mode,Pre-assessment intro,"Click 'Start' on pre-assessment CTA","Intro screen: 'See Where You Stand' with explanation and Start button",High,,
A-02,Assessment Mode,3 scenarios presented,"Click Start","3 scenario steps with progress bar at top, each showing scenario title/situation and textarea",High,,
A-03,Assessment Mode,No feedback during assessment,"Submit prompts for all 3 scenarios",No feedback or scoring shown until all 3 are complete,High,,
A-04,Assessment Mode,Results — aggregate score,"Complete all 3 scenarios",Large score circle (0-100) with appropriate color and message,High,,
A-05,Assessment Mode,Results — skills breakdown,"Check below the score","List of principles detected (checkmark) and missing (empty circle)",High,,
A-06,Assessment Mode,Results — per-scenario breakdown,"Check below skills",Each scenario shown with individual score and skill count,Medium,,
A-07,Assessment Mode,Post-assessment shows comparison,"Complete post-assessment after pre-assessment","Before/after comparison panel with both scores and point improvement",High,,
A-08,Assessment Mode,Results persist on refresh,"Complete an assessment, refresh, visit Progress",Assessment results still displayed on Progress page,High,,
SE-01,Settings Page,Page loads,"Navigate to Settings",Provider selection radio buttons and API key input visible,Critical,,
SE-02,Settings Page,Three providers available,"Check provider options","Gemini (with 'Free' badge), Claude, and OpenAI shown as radio buttons",High,,
SE-03,Settings Page,Save API key,"Select Gemini, enter a key, click Save","'Key saved' confirmation appears. Key persists on page refresh.",Critical,,
SE-04,Settings Page,Clear API key,"With a saved key, click Clear",Key is removed. Freeform mode reverts to Copy & Try flow.,High,,
SE-05,Settings Page,Privacy note visible,"Check below the action buttons","Shield icon with explanation that key is stored locally only",Medium,,
SE-06,Settings Page,Back button works,"Click '< Back to scenarios'",Returns to Scenario Selector,Medium,,
D-01,Data Persistence,Progress survives refresh,"Complete 2 scenarios, refresh browser, check Progress page",Completed count and practiced principles are preserved,Critical,,
D-02,Data Persistence,API key survives refresh,"Save an API key in Settings, refresh, check Settings",Key is still configured,Critical,,
D-03,Data Persistence,User context survives refresh,"Select a personalization context, refresh, visit Scenario Selector",Banner does not reappear. Relevance sorting still active.,High,,
D-04,Data Persistence,Assessment survives refresh,"Complete pre-assessment, refresh, visit Progress",Assessment results are still shown,High,,
D-05,Data Persistence,Clean slate works,"Clear all site data in browser, reload",App starts fresh: landing page, no progress, no API key, onboarding banner appears,High,,
AC-01,Accessibility,Reduced motion respected,"Enable 'Reduce motion' in OS settings, trigger a fadeIn animation (e.g., reveal good demo example)","Content appears without animation (no translateY movement)",Medium,,
AC-02,Accessibility,Keyboard navigation — landing page,"Tab through the landing page",All buttons and links are reachable via Tab. Focus rings visible.,Medium,,
AC-03,Accessibility,Keyboard navigation — scenario selection,"Tab through Scenario Selector, press Enter on a card",Card activates and opens the scenario,Medium,,
AC-04,Accessibility,Keyboard navigation — guided options,"Tab through the 3 option cards, press Enter","Option is selected, results load",Medium,,
AC-05,Accessibility,Screen reader — loading states,"Start a loading action with a screen reader running","Screen reader announces loading message (aria-live='polite' on LoadingSpinner)",Medium,,
AC-06,Accessibility,Screen reader — comparison panels,"Navigate to the side-by-side comparison with screen reader","Panels are announced with labels 'Weak prompt and response' and 'Strong prompt and response'",Medium,,
AC-07,Accessibility,Color contrast — body text,"Inspect descriptive text on various pages","Body text uses text-stone-500 or darker on white backgrounds (5.0:1+ ratio). Only decorative text uses text-stone-400.",Medium,,
AC-08,Accessibility,Header aria-labels,"Inspect header buttons with accessibility tools","All nav buttons have aria-labels: Scenarios, Progress, Help, Settings",Medium,,
RD-01,Responsive Design,Landing page on mobile,"Open app on a mobile viewport (375px width)","Layout stacks vertically. Text readable. Demo card fits. Skills grid stacks to 1 column.",High,,
RD-02,Responsive Design,Scenario Selector on mobile,"View Scenario Selector on mobile","Scenario cards stack to 1 column. Tabs wrap properly. Onboarding pills wrap.",High,,
RD-03,Responsive Design,Guided Mode on mobile,"Complete a scenario on mobile","Options cards stack. Comparison columns stack vertically. Buttons wrap.",High,,
RD-04,Responsive Design,Help page on mobile,"View Help page on mobile","All content readable. Risk items and verification techniques don't overflow.",Medium,,
E-01,Error Handling,Guided mode — missing JSON file,"Temporarily rename a generated JSON file, open that scenario","Error banner with retry button. Does not crash the app.",Medium,,
E-02,Error Handling,Freeform — API call failure,"Configure an invalid API key, submit in freeform mode",Error banner with descriptive message and retry button,Medium,,
E-03,Error Handling,Hybrid — API call failure,"Configure an invalid API key, submit in Write First mode",Error banner appears. User can fix and retry.,Medium,,
E-04,Error Handling,Multi-Turn — API call failure,"Configure an invalid API key, submit in Practice Iterating mode",Error banner appears at the appropriate step,Medium,,
E-05,Error Handling,Empty prompt submission,"Try submitting an empty textarea in any mode",Submit button is disabled (grayed out) when textarea is empty,High,,
FB-01,Feedback Quality,Weak feedback is normalizing,"Pick the weak option on 5+ different guided scenarios","All feedback.weak.what_happened fields open with normalizing language, not 'Your prompt was too vague'",Critical,,
FB-02,Feedback Quality,Medium feedback is constructive,"Pick the medium option on 3+ scenarios","Feedback acknowledges what's good, then explains what the strong option added",High,,
FB-03,Feedback Quality,Strong feedback is affirming,"Pick the strong option on 3+ scenarios",Feedback congratulates and reinforces the principle,High,,
FB-04,Feedback Quality,Tips are actionable,"Read tips across 5+ scenarios","Each tip gives a specific behavior change, not abstract advice like 'be more specific'",High,,
FB-05,Feedback Quality,No jargon in feedback,"Read all feedback across several scenarios","No instances of 'prompt engineering', 'tokens', 'context window', or 'system prompt'",High,,
